time,latitude,longitude,depth,mag,country,
06/02/1966 15:30:00,37.2271,-116.0555,0.46,62,USA,46
3/21/1969 2:30:00 PM,37.1332,-116.0867,0.46,100,USA,46
12/18/1969 7:00:00 PM,37.1205,-116.0348,0.46,400,USA,46
11/15/1952 11:30:00 PM,11.5622,162.3525,0.45,500,USA,45
8/22/1964 10:17:00 PM,37.0653,-116.0154,0.45,20,USA,45
10/02/1964 20:03:00,37.0779,-116.0085,0.45,20,USA,45
04/05/1965 21:00:00,37.0258,-116.0226,0.45,20,USA,45
6/15/1966 6:02:47 PM,37.1715,-116.0489,0.45,200,USA,45
8/31/1967 4:30:00 PM,37.1776,-116.2089,0.45,20,USA,45
1/30/1969 3:00:00 PM,37.0533,-116.0293,0.45,200,USA,45
6/23/1971 3:30:00 PM,37.022,-116.0227,0.45,200,USA,45
4/25/1973 10:25:00 PM,37.0048,-116.0284,0.45,40,USA,45
08/03/1979 15:07:30,37.084,-116.0699,0.45,150,USA,45
11/11/1981 20:00:00,37.0763,-116.0685,0.45,150,USA,45
02/06/1951 13:46:55,36.8,-115.95,0.44,22,USA,44
1/19/1968 3:00:00 PM,37.1564,-116.0539,0.44,200,USA,44
11/22/1968 4:19:00 PM,37.1399,-116.0423,0.44,20,USA,44
02/05/1970 15:00:00,37.164,-116.0388,0.44,25,USA,44
5/15/1970 1:30:00 PM,37.1619,-116.0389,0.44,400,USA,44
12/21/1972 8:15:00 PM,37.1399,-116.0833,0.44,20,USA,44
9/27/1978 5:00:00 PM,37.0798,-116.0513,0.44,150,USA,44
11/01/1951 15:30:02,37.0847,-116.0197,0.43,21,USA,43
10/24/1980 7:15:00 PM,37.0746,-115.9993,0.43,20,England,43
05/12/1962 19:00:00,37.0652,-116.0304,0.43,40,USA,43
5/14/1965 5:32:36 PM,37.0588,-116.0105,0.43,20,USA,43
8/14/1974 2:00:00 PM,37.0234,-116.0364,0.43,20,USA,43
09/06/1975 17:00:00,37.0236,-116.0291,0.43,20,USA,43
12/08/1976 14:49:30,37.0793,-116.0016,0.43,20,USA,43
12/05/1969 17:00:00,37.18,-116.2109,0.42,20,USA,42
5/26/1970 2:16:00 PM,37.1826,-116.2134,0.42,20,USA,42
6/29/1971 6:30:00 PM,37.1768,-116.2115,0.42,20,USA,42
7/20/1972 5:16:00 PM,37.2145,-116.1834,0.42,20,USA,42
04/03/1980 14:00:00,37.1499,-116.0823,0.42,150,USA,42
9/25/1980 3:26:30 PM,37.1159,-116.0646,0.42,1.07,USA,42
11/24/1972 10:00:00 AM,51.842,64.21,0.42,6.6,Russia,42
06/04/1953 11:14:57,37.0875,-116.0183,0.41,61,USA,41
6/27/1962 6:00:00 PM,37.0416,-116.0353,0.41,67,USA,41
7/13/1962 4:00:00 PM,37.0551,-116.0334,0.41,200,USA,41
10/09/1964 14:00:00,37.1513,-116.077,0.41,38,USA,41
03/05/1966 18:15:00,37.1745,-116.2084,0.41,20,USA,41
2/29/1968 5:08:30 PM,37.1846,-116.2114,0.41,20,USA,41
02/12/1969 16:18:21,37.1691,-116.2107,0.41,20,USA,41
7/16/1969 1:02:30 PM,37.1194,-116.0551,0.41,200,USA,41
2/25/1970 2:28:38 PM,37.0367,-115.9996,0.41,200,USA,41
05/05/1970 15:30:00,37.2165,-116.1841,0.41,20,USA,41
10/12/1973 17:00:00,37.2004,-116.2032,0.41,20,USA,41
4/24/1975 2:10:00 PM,37.1157,-116.0874,0.41,200,USA,41
12/10/1982 15:20:00,37.0302,-116.0719,0.41,150,USA,41
12/06/1969 07:03:00,43.867,54.8,0.41,30,Russia,41
11/05/1951 16:29:58,37.0919,-116.0244,0.4,31,USA,40
9/15/1961 5:00:00 PM,37.1879,-116.2078,0.4,2.6,USA,40
12/12/1962 17:25:00,37.1687,-116.2061,0.4,20,USA,40
11/05/1964 15:00:00,37.1744,-116.067,0.4,12,USA,40
12/05/1964 21:15:00,37.1144,-116.0534,0.4,200,USA,40
03/12/1966 18:04:13,37.1437,-116.0525,0.4,20,USA,40
02/11/1970 19:15:00,37.2013,-116.2052,0.4,20,USA,40
4/21/1970 3:00:00 PM,37.1156,-116.0801,0.4,400,USA,40
10/28/1974 3:00:00 PM,37.2011,-116.2039,0.4,20,USA,40
05/12/1976 19:50:00,37.2091,-116.2125,0.4,20,USA,40
08/08/1979 15:00:00,37.0147,-116.008,0.4,150,USA,40
8/28/1973 3:00:00 AM,50.527,68.323,0.4,6.3,Russia,40
5/22/1963 3:40:00 PM,37.1111,-116.0391,0.39,200,USA,39
7/16/1964 1:15:00 PM,37.1822,-116.0454,0.39,200,USA,39
10/31/1964 5:04:59 PM,37.1072,-116.0323,0.39,20,USA,39
11/21/1969 2:52:00 PM,37.0312,-116.0021,0.39,200,USA,39
2/26/1970 3:30:00 PM,37.1164,-116.0614,0.39,600,USA,39
05/01/1970 14:13:00,37.0592,-116.0282,0.39,20,USA,39
11/05/1970 15:00:00,37.0295,-116.0118,0.39,200,USA,39
06/05/1973 17:00:00,37.185,-116.2151,0.39,20,USA,39
6/19/1974 4:00:00 PM,37.2103,-116.2073,0.39,20,USA,39
11/01/1977 18:06:00,37.1878,-116.213,0.39,20,USA,39
9/13/1978 3:15:00 PM,37.2088,-116.2108,0.39,20,USA,39
10/31/1980 6:00:00 PM,37.2113,-116.2054,0.39,20,USA,39
6/26/1967 4:00:00 PM,37.2021,-116.2078,0.38,20,USA,38
04/10/1968 14:00:00,37.1544,-116.0789,0.38,220,USA,38
7/30/1968 1:00:00 PM,37.1332,-116.0823,0.38,200,USA,38
12/17/1969 3:15:00 PM,37.0066,-116.0228,0.38,20,USA,38
9/29/1971 2:00:00 PM,37.011,-116.0073,0.38,20,USA,38
10/08/1971 14:30:00,37.1138,-116.0373,0.38,20,USA,38
05/02/1972 19:15:00,37.2077,-116.2088,0.38,20,USA,38
04/05/1975 19:45:00,37.1879,-116.2139,0.38,20,USA,38
9/15/1977 2:36:30 PM,37.0328,-116.0431,0.38,20,USA,38
10/26/1977 2:15:00 PM,37.0076,-116.0167,0.38,20,USA,38
9/25/1980 2:45:00 PM,37.0562,-116.0481,0.38,150,USA,38
10/26/1963 5:00:00 PM,39.2002,-118.3803,0.37,12,USA,37
1/19/1967 4:45:00 PM,37.1437,-116.1352,0.37,39,USA,37
11/17/1977 7:30:00 PM,37.0206,-116.0251,0.37,20,USA,37
3/14/1979 6:30:00 PM,37.0278,-116.0398,0.37,20,USA,37
2/28/1980 3:00:00 PM,37.1265,-116.0885,0.37,20,USA,37
7/31/1980 6:19:00 PM,37.013,-116.0227,0.37,20,USA,37
11/12/1982 19:17:00,37.0237,-116.0321,0.37,20,USA,37
03/01/1962 19:10:00,37.0413,-116.0287,0.36,9.5,England,36
12/03/1961 23:05:00,37.0459,-116.0277,0.36,13.4,USA,36
12/10/1961 19:00:00,32.2636,-103.8658,0.36,3,USA,36
12/17/1961 4:35:00 PM,37.0432,-116.0253,0.36,20,USA,36
1/30/1962 6:00:00 PM,37.0468,-116.0395,0.36,20,USA,36
