latitude,longitude,mag
37.00,-116.00,20.00
37.02,-116.04,20.00
39.41,-107.95,40.00
36.88,-115.93,20.00
37.31,-116.46,"1,000.00"
37.00,-116.00,40.00
37.00,-116.00,60.00
51.42,179.18,"1,000.00"
37.26,-116.44,"1,000.00"
37.00,-116.00,20.00
37.12,-116.13,11.00
37.14,-116.14,66.80
37.14,-116.06,110.00
37.16,-116.07,1.70
37.00,-116.00,20.00
37.03,-116.00,200.00
37.18,-116.21,20.00
37.00,-116.00,40.00
37.00,-116.00,80.00
37.08,-116.00,200.00
37.01,-116.02,20.00
37.12,-116.03,400.00
37.14,-116.04,60.00
37.03,-116.03,20.00
37.00,-116.00,200.00
37.10,-116.03,200.00
37.16,-116.04,25.00
37.20,-116.21,20.00
37.04,-116.00,200.00
37.12,-116.06,600.00
37.02,-116.09,8.70
37.14,-116.04,60.00
37.00,-116.02,20.00
37.09,-116.02,200.00
37.30,-116.53,"1,000.00"
37.05,-115.99,12.70
37.12,-116.08,400.00
37.00,-116.00,20.00
37.06,-116.03,20.00
37.13,-116.03,40.00
37.22,-116.18,20.00
37.01,-116.20,20.00
37.16,-116.04,400.00
37.03,-115.99,20.00
37.07,-116.01,200.00
37.18,-116.21,20.00
37.11,-116.06,103.00
37.00,-116.00,40.00
37.13,-116.05,20.00
37.11,-116.09,40.00
37.00,-116.00,60.00
37.07,-116.01,200.00
37.00,-116.00,60.00
37.03,-116.01,200.00
37.00,-116.00,20.00
37.00,-116.00,40.00
37.00,-116.00,20.00
37.10,-116.01,200.00
37.14,-116.03,80.00
37.13,-116.08,220.00
37.17,-116.10,10.00
37.03,-116.01,20.00
37.00,-116.00,20.00
37.02,-116.02,200.00
37.15,-116.07,200.00
37.18,-116.21,20.00
37.01,-116.20,20.00
37.11,-116.05,83.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.00,-116.00,40.00
37.00,-116.00,20.00
37.06,-116.04,200.00
37.00,-116.00,80.00
37.00,-116.00,20.00
37.01,-116.01,20.00
37.11,-116.04,20.00
37.03,-115.99,20.00
51.47,179.11,"5,000.00"
36.88,-115.93,20.00
37.05,-116.14,20.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.12,-116.09,200.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.00,-116.00,20.00
36.92,-116.05,40.00
37.00,-116.00,20.00
37.12,-116.08,20.00
37.21,-116.21,20.00
37.00,-116.00,20.00
37.12,-116.09,20.00
37.06,-116.00,20.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.13,-116.10,20.00
37.21,-116.18,20.00
37.00,-116.20,20.00
37.00,-116.00,60.00
37.08,-116.04,200.00
37.12,-116.09,15.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.00,-116.00,40.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.00,-116.00,220.00
37.14,-116.08,20.00
37.00,-116.00,20.00
37.10,-116.03,200.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.00,-116.03,40.00
37.00,-116.00,20.00
37.12,-116.06,90.00
37.00,-116.00,20.00
39.79,-108.37,99.00
37.00,-116.00,20.00
37.29,-116.10,20.00
37.19,-116.22,20.00
37.25,-116.35,"1,000.00"
37.08,-115.99,200.00
37.00,-116.00,20.00
37.15,-116.09,200.00
37.00,-116.00,20.00
37.20,-115.80,20.00
37.20,-116.20,20.00
37.01,-116.02,20.00
36.93,-116.03,20.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.00,-116.00,60.00
37.10,-116.05,200.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.00,-116.00,20.00
37.06,-116.11,20.00
36.96,-116.02,20.00
37.21,-116.21,20.00
37.07,-116.03,200.00
37.09,-116.05,40.00
37.02,-116.04,20.00
37.15,-116.08,200.00
36.97,-116.02,20.00
37.00,-116.00,20.00
37.13,-116.07,200.00
