time,latitude,longitude,depth,mag,country
09/06/1957 12:45:00,37.1347,-116.0408,-0.15,0.197,USA
09/06/1957 20:05:01,37,-116,NA,0.3,USA
09/08/1957 13:00:00,37.0867,-116.0236,-0.23,1,USA
9/14/1957 4:45:00 PM,37.0336,-116.0314,-0.15,11,USA
9/16/1957 12:50:00 PM,37.0867,-116.0236,-0.46,12,USA
9/19/1957 5:00:00 PM,37.1958,-116.2031,0.24,1.7,USA
9/23/1957 12:30:00 PM,37.1383,-116.1175,-0.15,19,USA
9/28/1957 1:00:00 PM,37.1347,-116.0408,-0.46,12,USA
10/07/1957 13:00:00,37.1347,-116.0408,-0.15,8,USA
12/06/1957 20:15:00,37.0499,-116.0309,0.08,20,USA
12/09/1957 00:00:00,37,-116,0,0.5,USA
2/22/1958 12:00:00 AM,37,-116,0,0.001,USA
3/14/1958 12:00:00 AM,37,-116,0,0.001,USA
4/28/1958 2:40:00 AM,12.6167,168.025,-26.21,1.7,USA
05/05/1958 18:15:00,11.5564,162.3542,NA,18,USA
05/11/1958 17:50:00,11.6908,165.2736,NA,1360,USA
05/11/1958 18:15:00,11.5411,162.3506,NA,81,USA
05/12/1958 18:30:00,11.675,162.2056,NA,1370,USA
5/16/1958 1:30:00 AM,11.3447,162.1789,0.15,9,USA
5/20/1958 6:30:00 PM,11.5439,162.3561,NA,5.9,USA
5/21/1958 9:20:00 PM,11.4961,165.3708,NA,25.1,USA
5/26/1958 2:00:00 AM,11.6603,162.2253,NA,330,USA
5/26/1958 6:00:00 PM,11.5428,162.3539,NA,57,USA
5/30/1958 2:15:00 AM,11.6633,162.23,NA,11.6,USA
5/31/1958 3:00:00 AM,11.6908,165.2736,NA,92,USA
06/02/1958 18:45:00,11.5411,162.3517,NA,15,USA
06/08/1958 18:15:00,11.3808,162.2192,0.05,8,USA
06/10/1958 17:30:00,11.6872,165.415,NA,213,USA
6/14/1958 5:30:00 PM,11.6908,165.2733,NA,319,USA
6/14/1958 6:30:00 PM,11.6603,162.2253,NA,1450,USA
6/18/1958 3:00:00 AM,11.5442,162.3564,NA,11,USA
6/27/1958 5:30:00 PM,11.6872,165.415,NA,412,USA
6/27/1958 6:30:00 PM,11.6633,162.23,NA,880,USA
6/28/1958 7:30:00 PM,11.6078,162.1078,NA,8900,USA
6/29/1958 12:00:00 AM,11.4961,162.3708,NA,14,USA
07/01/1958 18:30:00,11.5442,162.3564,NA,5.2,USA
07/02/1958 17:30:00,11.6908,165.2736,NA,220,USA
07/05/1958 18:30:00,11.6633,162.23,NA,397,USA
07/12/1958 03:30:00,11.6881,165.2644,NA,9300,USA
7/14/1958 12:00:00 AM,11,162,0,0,USA
7/17/1958 12:00:00 AM,11,162,0,255,USA
7/22/1958 4:20:00 AM,11.4961,165.3708,NA,65,USA
7/22/1958 8:30:00 PM,11.6633,162.23,NA,202,USA
7/26/1958 8:30:00 PM,11.6561,162.2197,NA,2000,USA
08/01/1958 10:50:06,16.7439,-169.5333,-76.81,3800,USA
08/06/1958 00:00:00,11,162,0,0,USA
08/12/1958 10:30:09,16.3583,-169.5356,-42.98,3800,USA
